ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,DAY_WEEK_DESC,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,SEVERITY_RANK,LIGHT_CONDITION_DESC,LGA_NAME,ROAD_GEOMETRY_DESC,SPEED_ZONE,LATITUDE,LONGITUDE
T20200016294,07-09-2020,16.16.00,Monday,6,Vehicle overturned (no collision),2,Day,BASS COAST,Not at intersection,100,-38.627102,145.584152
T20200016616,14-09-2020,16.05.00,Monday,4,Collision with a fixed object,2,Day,BASS COAST,T intersection,60,-38.605179,145.599745
T20200017158,25-09-2020,19.25.00,Friday,1,Collision with vehicle,3,Dark Street lights on,BASS COAST,Cross intersection,60,-38.456133,145.210688
T20200017560,03-10-2020,13.00.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.616574,145.741527
T20200017839,08-10-2020,16.40.00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,100,-38.294434,145.555428
T20200018096,14-10-2020,0.15.00,Wednesday,4,Collision with a fixed object,1,Dark No street lights,BASS COAST,Not at intersection,100,-38.380975,145.61554
T20200018639,22-10-2020,20.22.00,Thursday,6,Vehicle overturned (no collision),3,Dark Street lights on,BASS COAST,Not at intersection,100,-38.635678,145.603032
T20200018897,27-10-2020,9.14.00,Tuesday,6,Vehicle overturned (no collision),3,Day,BASS COAST,T intersection,80,-38.519676,145.340827
T20200018925,27-10-2020,14.35.00,Tuesday,4,Collision with a fixed object,3,Day,BASS COAST,Not at intersection,100,-38.362679,145.638494
T20200019295,02-11-2020,8.35.00,Monday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,100,-38.539858,145.556544
T20200019454,27-10-2020,16.00.00,Tuesday,2,Struck Pedestrian,3,Day,BASS COAST,Not at intersection,50,-38.455616,145.238981
T20200020022,12-11-2020,17.28.00,Thursday,1,Collision with vehicle,2,Day,BASS COAST,Cross intersection,50,-38.61572,145.592458
T20200021296,28-11-2020,16.30.00,Saturday,4,Collision with a fixed object,3,Day,BASS COAST,Cross intersection,50,-38.605804,145.593721
T20200022215,09-12-2020,21.08.00,Wednesday,2,Struck Pedestrian,3,Dark No street lights,BASS COAST,Not at intersection,60,-38.456132,145.210027
T20200023241,13-11-2020,15.30.00,Friday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,50,-38.605156,145.588387
T20200023780,28-12-2020,21.45.00,Monday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,Not at intersection,100,-38.393587,145.539991
T20200023813,30-12-2020,12.40.00,Wednesday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,80,-38.500191,145.27631
T20200023846,27-12-2020,13.00.00,Sunday,4,Collision with a fixed object,2,Day,BASS COAST,Not at intersection,80,-38.516944,145.318012
T20210000223,14-11-2020,23.00.00,Saturday,4,Collision with a fixed object,3,Dark No street lights,BASS COAST,Not at intersection,100,-38.427572,145.508217
T20210000225,04-01-2021,13.20.00,Monday,1,Collision with vehicle,3,Day,BASS COAST,Cross intersection,60,-38.563775,145.543006
T20210000278,04-01-2021,22.00.00,Monday,1,Collision with vehicle,2,Dark No street lights,BASS COAST,Not at intersection,80,-38.475376,145.257639
T20210000566,09-01-2021,18.45.00,Saturday,1,Collision with vehicle,3,Day,BASS COAST,Not at intersection,100,-38.512662,145.443318
T20210000670,11-01-2021,12.00.00,Monday,1,Collision with vehicle,2,Day,BASS COAST,Not at intersection,60,-38.6371,145.714991
T20210001363,10-01-2021,16.30.00,Sunday,6,Vehicle overturned (no collision),3,Day,BASS COAST,Not at intersection,60,-38.454278,145.204322
